team,player_id,name,role,rating,priority
1,3e016c8e-d913-429b-ab3d-8d2267852096,Zakmen#21114,T,900.0,
1,50095ff2-fa58-4324-bfe5-2584ccf96a86,Shelestumana#2632,D,700.0,
1,97deec40-a862-41ac-9b6a-86fd75f4722b,LookAtMyDuck#2249,D,1600.0,1.0
1,f066478d-59fc-46da-82c8-d0b57166e380,ReinLu#2607,S,500.0,
1,1dea12ab-2149-41e7-9b5b-6cd7d23a1bcb,dasha21cm#2481,S,1200.0,1.0
2,126dde31-3dae-4e73-b082-3f9d1f7f2d79,Mioto#21199,T,1606.0,1.0
2,04c069aa-d2e5-4f84-b720-00d1f5b27fe9,DOORSTUCK#21759,D,1508.0,1.0
2,2b70c4e6-5404-4a12-83ba-8d703093a253,thesevenast#2234,D,600.0,1.0
2,66362678-8ee4-40d8-8f21-c37baee2cfb1,likakisss#2472,S,600.0,
2,aaadb3a8-91ba-4944-8d34-8ca21821fa8b,Larwyd#2215,S,1200.0,1.0
3,470c8660-7fcf-4953-b69b-2f89da21503d,Ǩõŋđëŗǃ#2507,T,1600.0,1.0
3,5126e9f1-6067-4f90-a5b9-bcbd5b9477d4,HzHz#2274,D,1200.0,1.0
3,8738e015-86b4-472d-a13b-8a51974a22c2,Juicy#21913,D,500.0,1.0
3,2d489ae3-038f-4e1f-aa36-de708f2fa442,UgandO#2383,S,900.0,
3,c2aa73bf-e582-4d18-a5d7-26d54f25a090,Scrætch#2459,S,1100.0,1.0
4,a7336716-9712-4f9c-90f9-dd25340521b6,ХитрыйСтраус#239767,T,800.0,
4,10863965-f569-4c4a-bd21-1a997c72bb3b,KingOfAir#21611,D,1200.0,1.0
4,30d47d8d-7279-4bd7-b53e-0e330229aa3b,Mars#23130,D,1100.0,1.0
4,8d84eb5f-f299-428e-ae4b-37e7f0b3007c,Nova#28747,S,1000.0,1.0
4,10057bc2-8e5a-41a3-80dc-a8fe11076650,Darius#24393,S,900.0,1.0
5,8432e04f-2a9d-432e-b311-0f83235ba00d,Kars#21831,T,1400.0,1.0
5,c58be7f9-5e2e-4f5f-92ba-2567bf030728,TheCre1n#2286,D,1100.0,1.0
5,1b2ed0fe-39f0-4365-bd61-f7586bdd1701,Warrkan#1755,D,1000.0,1.0
5,143e4de5-357e-40a1-8fbd-b4562456c127,Alicelynx#21445,S,900.0,1.0
5,acf08ebe-b1aa-4fe9-a4ff-12a409a69d61,JamStrat#2858,S,800.0,1.0
6,4e209e03-6eb6-4157-9c01-1b5610d98070,Walarus#2151,T,1300.0,1.0
6,1b8157fa-154c-4c29-a58d-3a7f7f15e482,rizi#21666,D,900.0,1.0
6,660f6ca8-891f-4c77-ad68-39b83bd40b6c,Steud#2665,D,900.0,1.0
6,33d0142e-e043-4d27-a758-d123dd689348,Askhay#21578,S,800.0,1.0
6,335c024f-dada-4646-84c3-91beeedd2dac,Neyz1#2888,S,800.0,1.0
7,c3a11d33-f655-40c2-b665-c64eb18140ad,Oikawa#21544,T,1200.0,1.0
7,925591f0-d4d0-4643-bed2-42bff150dddc,Freestylers#2618,D,800.0,1.0
7,fb397e80-e73f-44d5-af24-9473f9168881,Meowcy#2189,D,800.0,1.0
7,8803f9b1-7a01-4b5e-9a0e-6836b60d9fee,Czarz#2818,S,800.0,1.0
7,a04e9d3f-1168-4676-b890-2959b4788105,ooopexxx#2400,S,600.0,1.0
8,d7f1f0e8-9e8c-43ba-94b6-578464832325,Whopper#21795,T,1200.0,1.0
8,5994faa6-599c-405e-b80e-dffe1feebe27,Magistr#21158,D,2009.0,
8,88264a47-0ff1-4a01-a32c-42afe77ed756,kentawr#2996,D,700.0,1.0
8,dfd81a5e-01f5-444c-b03d-d535484f2d66,SaintDeimos#2577,S,600.0,1.0
8,5e4db7ba-b93a-44bc-9af8-6d39af367186,Korsner#2805,S,500.0,1.0
9,0258c4cd-d449-43fa-9872-095f9ef87d1a,AnyCost#2261,T,1000.0,1.0
9,dc36b69e-d3cd-417c-919c-346bb94a5a0c,katan#21331,D,600.0,1.0
9,ef2e28ce-a953-46a3-8739-f42b9bd1738b,Qurare#2763,D,2007.0,
9,9e7be9c5-8639-4bff-ae2e-88ab4f8021b4,Михан#21694,S,500.0,1.0
9,e9821767-5d77-44d0-b6a1-5ce8bdc25739,Astis#2783,S,405.0,1.0
10,efd7a8ec-a58a-405d-a8c5-96b03287659f,VipèreSombre#21773,T,900.0,1.0
10,227fdd16-a273-4186-8d88-5312db3b3ab4,Samrisel#2641,D,1605.0,
10,5cf3f625-8a55-4df7-b8bd-90ca84126e9d,VicExtreme#2402,D,1300.0,1.0
10,1ebbc426-cbbc-4bfd-8dd3-4e20aa8975f6,Kenny#27465,S,800.0,
10,1574a63c-173f-4a55-814c-cf5a60260690,vles#21994,S,300.0,
11,8274ce4b-6f79-41e0-97d9-14c8ae1ba86c,Zafkiel#21174,T,800.0,1.0
11,8dfaf81f-ecf9-470a-85a8-0a5713e298d3,Саша#25209,D,500.0,1.0
11,99056ddb-3c97-40a7-8044-bd34e808e79e,Zaza#2496,D,500.0,1.0
11,338dee4b-b236-4166-8714-6fc656623412,Wisparian#2636,S,1801.0,
11,64a9ca3e-4542-4985-a9ac-2ca426968946,Carnivorous#21671,S,1100.0,2.0
12,5acba1c2-7750-4b88-8dfc-cca7e25ad30a,Paradocs#11121,T,700.0,1.0
12,9b818d5c-12f3-4093-8f43-414bc7f2560c,litnik#21214,D,2007.0,
12,8738e015-86b4-472d-a13b-8a51974a22c2,Juicy#21913,D,500.0,1.0
12,400597f1-9bce-4100-ab7f-bff76d16f393,Frieza666#2313,S,1100.0,2.0
12,66362678-8ee4-40d8-8f21-c37baee2cfb1,likakisss#2472,S,600.0,
13,7f96a7a8-62f2-402b-9d87-3c73485181a8,Анф#21511,T,700.0,1.0
13,3c7eef5a-3b01-4d5a-bdf0-5d25946ce535,Azat#21695,D,500.0,1.0
13,9a8b16b9-5eaf-41ab-8561-f251e2c5090b,MrBeast#11155,D,300.0,1.0
13,78f63900-0d8e-4b82-800d-897081f45632,MAKI#23885,S,1200.0,1.0
13,4a296508-c23f-482e-b231-4b5bd8282c58,BaseAndCo#2842,S,500.0,2.0
14,c3f4e36b-d592-4908-85da-1976ce1b3624,Hidan#21959,T,600.0,1.0
14,2bc33ca6-1dd8-460d-afac-f4c5b86be03e,VictoryBond#2179,D,300.0,1.0
14,afab393b-9ca0-47d5-90a2-92283d04b318,Mota#21323,D,500.0,
14,d53d96a9-6aa9-4822-bbd4-68c7353286e7,spark#22120,S,200.0,2.0
14,910b51c4-84cc-4819-b450-3eba39e017e3,rybr0n#2291,S,2002.0,
15,513e8e3b-2329-448d-b0ef-e4e88b6f68a0,CheGuevara#21350,T,600.0,1.0
15,e55974e7-a160-4083-8947-281b781bffd7,POWAH#21432,D,900.0,
15,29e4c00d-89a2-4c73-a43e-8e32026d3950,DiVine#21199,D,1100.0,
15,9a8b16b9-5eaf-41ab-8561-f251e2c5090b,MrBeast#11155,S,200.0,2.0
15,126dde31-3dae-4e73-b082-3f9d1f7f2d79,Mioto#21199,S,1802.0,
16,63cfa391-e6e0-46e1-aa16-a84f3817940f,Flank#21295,T,1100.0,
16,521f73ec-1d50-4b69-9d5f-bd3513f99d30,TheArtem#21991,D,500.0,1.0
16,ff8378de-550a-4943-8685-1bb2fdda7a70,ByeBye#21347,D,2001.0,
16,143e4de5-357e-40a1-8fbd-b4562456c127,Alicelynx#21445,S,900.0,1.0
16,1f9645c2-075f-448a-a43c-453617741bd8,Ducky#21942,S,1800.0,
17,22c4a7ce-2603-4dba-804d-0b48e2861389,Kovy#21999,T,500.0,1.0
17,50095ff2-fa58-4324-bfe5-2584ccf96a86,Shelestumana#2632,D,700.0,
17,8eaf969e-dcb5-43fe-9e3f-6553cb03942d,TeYzee#2561,D,1712.0,
